x,y,z
1.79,-5.62,-2.6
1.71,-5.61,-2.77
1.73,-5.55,-2.53
1.87,-5.7,-2.64
1.7,-5.68,-2.78
1.79,-5.59,-2.79
1.81,-5.64,-2.67
1.91,-5.59,-2.62
1.81,-5.61,-2.67
1.77,-5.64,-2.74
1.81,-5.72,-2.49
1.77,-5.61,-2.7
1.77,-5.7,-2.44
1.96,-5.62,-2.41
1.85,-5.57,-2.49
1.79,-5.62,-2.7
1.79,-5.53,-2.76
1.91,-5.55,-2.74
1.81,-5.66,-2.77
1.79,-5.47,-2.92
1.91,-5.55,-2.78
1.77,-5.42,-2.72
1.81,-5.57,-2.81
1.91,-5.47,-2.82
1.89,-5.57,-2.6
1.75,-5.57,-2.61
1.58,-5.59,-2.71
1.75,-5.51,-3.01
1.66,-5.57,-2.94
1.75,-5.57,-2.73
1.81,-5.64,-2.71
1.77,-5.61,-2.64
2.02,-5.47,-2.87
1.94,-5.53,-2.87
1.87,-5.49,-2.92
1.92,-5.44,-2.86
1.87,-5.47,-2.78
1.96,-5.47,-2.77
1.91,-5.57,-2.96
1.89,-5.51,-2.82
1.98,-5.53,-2.81
1.85,-5.4,-2.88
2.06,-5.34,-2.88
1.92,-5.47,-2.89
1.96,-5.44,-3.01
2.0,-5.38,-3.13
2.13,-5.44,-3.08
2.38,-5.21,-3.21
2.15,-5.25,-3.21
2.02,-5.23,-3.15
2.29,-5.16,-3.24
2.06,-5.06,-3.35
2.13,-5.12,-3.4
2.13,-5.18,-3.37
2.15,-5.08,-3.3
2.27,-5.23,-3.29
1.96,-5.21,-3.36
2.19,-5.32,-3.18
1.94,-5.16,-3.42
1.94,-5.14,-3.22
2.02,-5.21,-3.16
2.15,-5.32,-3.03
2.0,-5.25,-3.21
2.04,-5.25,-3.33
2.02,-5.4,-3.06
1.87,-5.27,-3.13
1.92,-5.44,-3.1
2.0,-5.55,-2.8
1.94,-5.46,-2.71
2.04,-5.55,-2.91
1.85,-5.53,-2.86
1.91,-5.53,-2.78
1.94,-5.57,-2.81
1.79,-5.47,-2.68
1.85,-5.68,-2.81
1.91,-5.57,-2.82
1.94,-5.61,-2.67
1.89,-5.66,-2.65
1.89,-5.68,-2.49
1.83,-5.59,-2.58
1.94,-5.7,-2.6
1.89,-5.59,-2.58
1.96,-5.57,-2.6
1.85,-5.61,-2.7
1.81,-5.64,-2.62
1.85,-5.68,-2.61
1.77,-5.61,-2.52
1.71,-5.59,-2.85
1.71,-5.46,-2.61
1.6,-5.44,-2.71
1.73,-5.61,-2.71
1.68,-5.49,-2.69
1.66,-5.49,-2.71
1.81,-5.57,-2.82
1.71,-5.53,-2.79
1.71,-5.47,-2.93
1.77,-5.57,-2.6
1.71,-5.64,-2.66
1.77,-5.66,-2.73
1.73,-5.64,-2.7
1.73,-5.57,-2.81
1.77,-5.7,-2.55
1.81,-5.75,-2.51
1.79,-5.55,-2.64
1.75,-5.7,-2.62
1.83,-5.68,-2.73
1.77,-5.62,-2.43
1.73,-5.68,-2.69
1.83,-5.62,-2.7
1.79,-5.7,-2.57
1.98,-5.55,-2.7
1.91,-5.59,-2.83
1.89,-5.7,-2.4
