x,y,z
8.66,-3.31,-2.56
8.6,-3.42,-2.72
8.49,-3.24,-2.67
8.45,-3.33,-2.6
8.45,-3.35,-2.79
8.66,-3.42,-2.67
8.29,-3.39,-2.65
8.42,-3.44,-2.4
8.55,-3.29,-2.55
8.36,-3.37,-2.64
8.47,-3.48,-2.52
8.47,-3.44,-2.68
8.4,-3.31,-2.55
8.38,-3.31,-2.5
8.43,-3.27,-2.38
8.55,-3.35,-2.62
8.36,-3.37,-2.52
8.4,-3.46,-2.58
8.4,-3.33,-2.53
8.29,-3.35,-2.63
8.36,-3.37,-2.4
8.43,-3.29,-2.26
8.29,-3.37,-2.45
8.34,-3.39,-2.47
8.27,-3.46,-2.51
8.38,-3.35,-2.52
8.27,-3.4,-2.36
8.42,-3.42,-2.36
8.3,-3.31,-2.35
8.17,-3.29,-2.51
8.29,-3.29,-2.35
8.36,-3.2,-2.47
8.23,-3.31,-2.59
8.34,-3.31,-2.43
8.3,-3.24,-2.36
8.27,-3.27,-2.41
8.23,-3.27,-2.57
8.36,-3.4,-2.45
8.3,-3.37,-2.53
8.27,-3.39,-2.49
8.25,-3.33,-2.52
8.25,-3.4,-2.54
8.17,-3.33,-2.66
8.3,-3.24,-2.52
8.25,-3.31,-2.55
8.27,-3.27,-2.58
8.19,-3.4,-2.46
8.23,-3.22,-2.44
8.25,-3.4,-2.66
8.27,-3.37,-2.68
8.27,-3.27,-2.52
8.21,-3.25,-2.35
8.3,-3.35,-2.56
8.27,-3.35,-2.6
8.36,-3.44,-2.58
8.32,-3.33,-2.58
8.32,-3.39,-2.74
8.25,-3.48,-2.52
8.29,-3.35,-2.69
8.32,-3.39,-2.52
8.32,-3.33,-2.73
8.12,-3.42,-2.57
8.25,-3.2,-2.6
8.1,-3.35,-2.58
8.14,-3.35,-2.73
8.25,-3.24,-2.52
8.23,-3.31,-2.57
8.29,-3.37,-2.69
8.23,-3.31,-2.62
8.34,-3.44,-2.51
8.42,-3.33,-2.57
8.23,-3.42,-2.47
8.32,-3.44,-2.54
8.19,-3.39,-2.45
8.23,-3.35,-2.72
8.29,-3.46,-2.57
8.38,-3.42,-2.33
8.14,-3.46,-2.47
8.32,-3.37,-2.51
8.17,-3.35,-2.3
8.23,-3.42,-2.53
8.12,-3.33,-2.43
8.27,-3.37,-2.23
8.23,-3.42,-2.62
8.17,-3.29,-2.27
8.17,-3.37,-2.37
8.25,-3.37,-2.34
8.14,-3.48,-2.32
8.21,-3.4,-2.27
8.04,-3.42,-2.32
8.08,-3.42,-2.28
8.19,-3.39,-2.34
8.23,-3.4,-2.26
8.19,-3.53,-2.23
8.19,-3.46,-2.31
8.17,-3.37,-2.23
8.1,-3.46,-2.4
8.04,-3.57,-2.4
8.15,-3.4,-2.35
8.1,-3.44,-2.33
8.0,-3.42,-2.37
8.06,-3.5,-2.13
8.12,-3.52,-2.47
7.93,-3.31,-2.4
8.04,-3.24,-2.17
7.91,-3.35,-2.25
8.04,-3.42,-2.23
7.91,-3.4,-2.47
7.95,-3.33,-2.42
7.87,-3.42,-2.39
7.87,-3.46,-2.24
7.89,-3.37,-2.53
7.86,-3.31,-2.1
7.8,-3.33,-2.23
7.8,-3.35,-2.36
7.54,-3.27,-2.42
7.69,-3.16,-2.22
7.69,-3.39,-2.23
7.69,-3.2,-2.24
7.56,-3.18,-2.37
7.48,-3.14,-2.13
7.44,-3.1,-2.26
7.46,-3.1,-2.11
7.31,-3.1,-2.23
7.11,-3.01,-2.17
7.24,-3.09,-2.22
7.13,-2.88,-2.26
7.07,-2.92,-2.3
7.07,-2.81,-2.12
6.99,-2.67,-2.21
7.05,-2.64,-2.08
6.86,-2.54,-2.19
6.92,-2.47,-2.62
6.7,-2.45,-2.48
6.58,-2.26,-2.55
6.47,-2.13,-2.81
6.32,-1.95,-2.74
6.19,-1.95,-2.77
6.23,-1.93,-2.58
6.19,-1.87,-2.76
6.06,-1.59,-2.78
5.84,-1.55,-2.63
5.7,-1.61,-2.58
5.76,-1.61,-2.38
5.84,-1.51,-2.52
5.76,-1.42,-2.5
5.69,-1.44,-2.5
5.59,-1.5,-2.28
5.54,-1.5,-2.3
5.48,-1.51,-2.12
5.42,-1.44,-2.28
5.37,-1.51,-2.06
5.41,-1.68,-1.89
